model_id,x,y,spatial_size,kpeaks_dom_0,kpeaks_dom_1,weight_dom_0,weight_dom_1,delay_dom_0,delay_dom_1,kpeaks_non_dom_0,kpeaks_non_dom_1,weight_non_dom_0,weight_non_dom_1,delay_non_dom_0,delay_non_dom_1,tuning_angle,sf_sep
sONsOFF_001,119.87526459281926,60.09966497654527,6.0,22.242892503052797,56.09018855607991,3.230608087696626,-1.6594987523642009,0.0,14.998557801437512,30.749557679328923,58.36538232539712,3.593079471761552,-1.815647036924815,0.0,24.987949331898697,178.32871177727372,5.999925764633439
sONtOFF_001,119.66954971578475,59.97052830016106,9.0,8.516176443299473,23.23841187896359,4.218965282769815,-2.404437665252125,0.0,0.0,30.777272991439386,58.289593787808805,3.591294197554154,-1.8149656770837332,0.0,24.9885773770192,179.498831454125,3.997014099985581
tOFF,119.94846744293305,59.97635543352241,4.978517794002731,11.36969171,20.00954957,3.39653799,-2.1141406,0.0,0.0,,,,,,,,
sOFF,120.05485357080696,60.00743300062586,4.990069170784265,6.52550375,82.79543591,2.36558871,-1.14111023,0.0,24.56405277,,,,,,,,
sON,119.92478404613249,59.99617450441766,5.021211683995186,22.04051209,107.19455239,2.4180974,-0.6353019,0.0,25.00521937,,,,,,,,
